age_old_yr_BP,age_young_yr_BP,median_mm_yr,p16_mm_yr,p84_mm_yr,p2p5_mm_yr,p97p5_mm_yr
80000,78000,0.3790343236709525,0.19747367300546503,0.9305900233256892,0.11418381132122571,1.37521073577883
78000,75000,0.2073213544212062,0.1653014956724102,0.27298480330108343,0.13206436109391434,0.5213388005707931
75000,72000,0.27402245835667827,0.17685917911491927,0.4650916266914745,0.11998819863424434,0.8343812088354101
72000,69000,0.3483168703931055,0.2315933281699486,0.5684385729896207,0.15828491657070617,1.0919032873448031
69000,66000,0.3991085660073376,0.301630647013522,0.5806341803064906,0.23016208154059575,0.9354848411018284
66000,63000,0.3613678424486732,0.2550736080008733,0.5107210364142204,0.17273143524262863,0.7191472187620869
63000,60000,0.31082074140708293,0.26928009130553715,0.35225742573523605,0.23181061064956424,0.39317601628657994
60000,57000,0.39250299759699847,0.3028377112729648,0.5653779493737476,0.23564057606459282,1.1365456602898683
57000,54000,0.27596176194359306,0.24270445105352287,0.3125849131631059,0.20767976142867778,0.3555645097782624
54000,51000,0.34361805868295436,0.23765087747309738,0.47858912272085535,0.16591030799633044,0.6813949246241421
51000,48000,0.5211297920350995,0.2969516982075667,1.0800841462324944,0.1892276132360582,1.6373101625398272
48000,45000,0.4684727004976867,0.34326303086696236,0.9904111219177612,0.25765296802762105,1.7304625968568093
45000,42000,0.41494639096745994,0.2911449668201562,0.5942173203605725,0.20609487298305024,0.8486908390503104
42000,39000,0.6542561249964788,0.42012984471786696,0.9945413943903962,0.2606134352726743,1.472878176801779
39000,36000,0.5111660706279866,0.3571916991748682,0.7480369278859744,0.23991485041826807,1.0913073156826687
36000,33000,0.4273046818395638,0.3632782520319314,0.5127635853396493,0.3117650386043996,0.7803257325943456
33000,30000,0.5867979184483958,0.4125900801725575,0.988578380939137,0.29887486015025466,1.3407733760630995
30000,27000,0.7154920819178732,0.43164374757523777,1.1898259534983957,0.3235416004827929,1.5510345738947213
27000,24000,0.9150726585978742,0.7326942139995293,1.1576484507353522,0.5988168972790692,1.4633086504493522
24000,21000,0.8290089944129256,0.7595566504696859,0.9024541633132712,0.7051572763166664,0.9953660770077778
21000,18000,0.8166985115373845,0.7165965964440439,0.929420825023323,0.6339559792404059,1.0663835709134768
18000,15000,0.42386477303767583,0.32692462408035616,0.7911780352438054,0.263309308614807,1.5830821695755952
15000,12000,0.5329263020709822,0.4001380928523839,1.0930110886743456,0.32510686473788314,1.587481036782837
12000,9000,0.9082032008957631,0.7197335453274276,1.1207929175022433,0.5711172405550989,1.3848839404586546
9000,6000,0.5768944811949014,0.38234060147231114,0.8593979853819568,0.26474850240455744,1.1807190763049424
6000,3000,0.4395342488182332,0.3065992273138678,0.7196324484046609,0.22591993033746396,1.1010284988978951
3000,0,0.5097065213361415,0.4456450297773379,0.5808254544383916,0.38569390373621554,0.6854161594734581
